,RMSE,SMAPE,RMSSE,Total_Train_Time,Horizon,Model
11,48.677087485353475,2.4024055410640788,1.7020324807669767,0.1727440357208252,12,ARIMA
107,49.40454884895164,2.2947222967177345,1.727468736987517,36.42224740982056,12,AutoNHITS
103,49.46598089933185,2.0082170637082526,1.7296167567337415,36.186949014663696,12,AutoNBEATS
20,49.96369155427768,1.8727718826967763,1.7470195995187887,0.04887247085571289,24,ETS
6,49.98666488841466,2.7916531906347752,1.7478228801362745,0.015598773956298828,6,SeasonalNaive
7,49.98666488841466,2.7916531906347752,1.7478228801362745,0.015640735626220703,12,SeasonalNaive
5,49.98666488841466,2.7916531906347752,1.7478228801362745,0.02027273178100586,3,SeasonalNaive
104,51.661531924370315,2.21139986611469,1.8063859175616381,17.90141534805298,24,AutoNHITS
34,52.18017862441499,2.173033240643682,1.8245208055576436,1.9898607730865479,6,AutoARIMA
33,52.610873683300035,2.2922268176175233,1.8395803955495214,3.922560453414917,3,AutoARIMA
106,54.029207530993844,2.433230156156075,1.889173549167688,73.37060952186584,6,AutoNHITS
75,56.687002915213874,2.1470971297085395,1.9821054459771708,29.570948362350464,12,AutoMLP
48,58.16478788607314,3.0965430381737447,2.0337773546703226,0.6835842132568359,24,LightGBM
44,58.6748386636813,2.8721467993248697,2.0516116795072543,0.021480321884155273,24,AutoTheta
100,59.83902915222538,2.2426108614305504,2.092318511564497,18.015661478042603,24,AutoNBEATS
1,62.55231144143809,2.837491920114745,2.1871905514563528,0.030835390090942383,3,Naive
72,63.31375179924956,2.5710070240336784,2.2138149098169864,19.37862730026245,24,AutoMLP
112,63.562675939021304,3.3862646045603144,2.2225187372854225,3.028353452682495,24,TimeGPT
73,65.59009956263526,2.589380448385505,2.293409191869492,117.70259642601013,3,AutoMLP
74,66.19731131684101,2.5554095563035855,2.3146408263355567,58.82551383972168,6,AutoMLP
12,71.8920141276197,3.925702252790825,2.5137605693805107,0.06249189376831055,24,SARIMA
18,73.83356583080484,3.0594001359862917,2.5816484450243413,0.015623807907104492,6,SES
31,74.53578430358677,2.974754014150588,2.606202063800918,0.0,12,WindowAverage
30,76.20399354564006,3.0286104259290947,2.664532306249065,0.015617132186889648,6,WindowAverage
4,76.99458855443457,4.253156340412739,2.692176079811019,0.0,24,SeasonalNaive
2,77.3681674419999,3.6883494360872104,2.7052385581475935,0.015017986297607422,6,Naive
36,78.37324656564037,3.9223742060878344,2.740381936738016,0.23326373100280762,24,AutoETS
35,81.34856517723016,3.1738050438017473,2.844416281830665,1.0227079391479492,12,AutoARIMA
108,82.03902658317575,3.978887953880085,2.868558805558878,259.73219203948975,24,AutoTFT
109,83.67855910370835,3.9730670464872726,2.925886343983602,2060.273208618164,3,AutoTFT
17,86.42578304201845,3.916483094142954,3.021945180214329,0.015642881393432617,3,SES
110,88.13357668438519,4.244691644086889,3.081659522216203,1033.7581553459167,6,AutoTFT
111,89.09921515971759,4.3385567738894535,3.1154238276543325,501.6497747898102,12,AutoTFT
28,90.57179472661453,3.565101909196528,3.1669137253218236,0.0,24,WindowAverage
19,90.672718395034,3.6753617588547582,3.1704426004169037,0.0,12,SES
8,97.23538013278713,5.250553056607752,3.399911207003183,0.10096573829650879,24,ARIMA
29,97.79751812126727,4.781865296537995,3.41956680195541,0.02816319465637207,3,WindowAverage
32,98.31399650011642,3.927452885566338,3.437625872902898,0.5556282997131348,24,AutoARIMA
3,108.20312688026472,4.838892619701354,3.7834070603787593,0.016149044036865234,12,Naive
16,112.48893103554857,5.008005320860406,3.9332635586890596,0.0,24,SES
0,137.32898455897794,6.937759354703098,4.801815481266354,0.0,24,Naive
25,204.8635454075485,13.101989391467841,7.1632142846189,0.0,3,HistoricAverage
26,206.7685996076801,13.316713039851177,7.229825996488908,0.0,6,HistoricAverage
27,210.88494238809815,13.655899482193337,7.373757145129432,0.0035202503204345703,12,HistoricAverage
24,219.43921245792754,14.395837000667584,7.6728638965858185,0.015624523162841797,24,HistoricAverage
