RMSE,SMAPE,RMSSE,Total_Train_Time,Horizon,Model
108.2031269,4.83889262,3.78340706,0.016149044,12,Naive
112.488931,5.008005321,3.933263559,0,24,SES
137.3289846,6.937759355,4.801815481,0,24,Naive
204.8635454,13.10198939,7.163214285,0,3,HistoricAverage
206.7685996,13.31671304,7.229825996,0,6,HistoricAverage
210.8849424,13.65589948,7.373757145,0.00352025,12,HistoricAverage
219.4392125,14.395837,7.672863897,0.015624523,24,HistoricAverage
456.088675,49.4754904,15.94749767,185.1782873,3,AutoDeepAR
456.1400873,49.48771794,15.94929534,87.94767332,6,AutoDeepAR
456.2066927,49.51124706,15.95162425,44.36605358,12,AutoDeepAR
456.4310815,49.54756983,15.95947017,23.21238661,24,AutoDeepAR
456.7503715,49.62695955,15.9706344,185.1782873,3,AutoDeepAR
456.7706401,49.63127567,15.97134311,87.94767332,6,AutoDeepAR
456.9694709,49.67171878,15.97829538,44.36605358,12,AutoDeepAR
457.0827763,49.69419571,15.9822572,23.21238661,24,AutoDeepAR
458.4019,49.99113615,16.02838139,44.36605358,12,AutoDeepAR
458.4119862,49.99546002,16.02873406,23.21238661,24,AutoDeepAR
458.4188613,49.99510882,16.02897445,44.36605358,12,AutoDeepAR
458.4347135,49.99273636,16.02952874,23.21238661,24,AutoDeepAR
458.4622493,49.99062547,16.03049155,87.94767332,6,AutoDeepAR
458.4777162,49.99909829,16.03103236,87.94767332,6,AutoDeepAR
458.5006893,49.99998024,16.03183563,185.1782873,3,AutoDeepAR
458.5404225,50,16.03322493,185.1782873,3,AutoDeepAR
459.7939507,50,16.07705553,23.21238661,24,AutoDeepAR
459.8612312,50,16.07940805,44.36605358,12,AutoDeepAR
460.1244986,50,16.0886134,87.94767332,6,AutoDeepAR
460.2246068,50,16.09211376,185.1782873,3,AutoDeepAR
460.4324824,50,16.09938229,23.21238661,24,AutoDeepAR
460.526022,50,16.10265298,44.36605358,12,AutoDeepAR
460.6746291,50,16.10784914,87.94767332,6,AutoDeepAR
460.8860329,50,16.11524104,185.1782873,3,AutoDeepAR
